date,county,fips,positive_patients,suspected_patients,icu_positive_patients,icu_suspected_patients,icu_available_beds
2021-11-05,Santa Cruz,87,6.0,1.0,0.0,0.0,3.0
2021-11-05,Shasta,89,57.0,0.0,12.0,0.0,4.0
2021-11-05,Siskiyou,93,3.0,0.0,1.0,0.0,4.0
2021-11-05,Solano,95,42.0,9.0,12.0,0.0,13.0
2021-11-05,Sonoma,97,27.0,1.0,6.0,1.0,22.0
2021-11-05,Stanislaus,99,165.0,9.0,32.0,1.0,23.0
2021-11-05,Sutter,101,0.0,0.0,0.0,0.0,0.0
2021-11-05,Tehama,103,13.0,0.0,3.0,0.0,2.0
2021-11-05,Trinity,105,0.0,0.0,0.0,0.0,0.0
2021-11-05,Tulare,107,157.0,7.0,37.0,0.0,6.0
2021-11-05,Tuolumne,109,14.0,0.0,0.0,0.0,2.0
2021-11-05,Ventura,111,41.0,5.0,6.0,0.0,31.0
2021-11-05,Yolo,113,9.0,0.0,3.0,0.0,4.0
2021-11-05,Yuba,115,28.0,0.0,8.0,0.0,6.0
2021-11-04,Alameda,1,68.0,26.0,21.0,1.0,107.0
2021-11-04,Amador,5,7.0,2.0,2.0,1.0,0.0
2021-11-04,Butte,7,59.0,1.0,11.0,0.0,8.0
2021-11-04,Calaveras,9,3.0,0.0,0.0,0.0,3.0
2021-11-04,Colusa,11,3.0,0.0,0.0,0.0,0.0
2021-11-04,Contra Costa,13,38.0,12.0,17.0,1.0,41.0
2021-11-04,Del Norte,15,1.0,0.0,0.0,0.0,0.0
2021-11-04,El Dorado,17,12.0,0.0,3.0,0.0,3.0
2021-11-04,Fresno,19,325.0,16.0,62.0,5.0,16.0
2021-11-04,Glenn,21,0.0,0.0,0.0,0.0,0.0
2021-11-04,Humboldt,23,13.0,1.0,3.0,0.0,8.0
2021-11-04,Imperial,25,37.0,0.0,9.0,0.0,5.0
2021-11-04,Inyo,27,1.0,0.0,0.0,0.0,2.0
2021-11-04,Kern,29,227.0,1.0,65.0,0.0,20.0
2021-11-04,Kings,31,48.0,0.0,7.0,0.0,5.0
2021-11-04,Lake,33,4.0,0.0,2.0,0.0,0.0
2021-11-04,Lassen,35,4.0,0.0,0.0,0.0,0.0
2021-11-04,Los Angeles,37,664.0,88.0,160.0,13.0,548.0
2021-11-04,Madera,39,22.0,3.0,5.0,0.0,5.0
2021-11-04,Marin,41,3.0,2.0,1.0,1.0,18.0
2021-11-04,Mariposa,43,0.0,0.0,0.0,0.0,0.0
2021-11-04,Mendocino,45,8.0,0.0,3.0,0.0,0.0
2021-11-04,Merced,47,39.0,0.0,13.0,0.0,4.0
2021-11-04,Modoc,49,1.0,0.0,0.0,0.0,0.0
2021-11-04,Mono,51,0.0,0.0,0.0,0.0,2.0
2021-11-04,Monterey,53,10.0,1.0,1.0,0.0,18.0
2021-11-04,Napa,55,6.0,0.0,4.0,0.0,9.0
2021-11-04,Nevada,57,14.0,0.0,2.0,0.0,0.0
2021-11-04,Orange,59,212.0,6.0,54.0,0.0,146.0
2021-11-04,Placer,61,112.0,12.0,28.0,0.0,18.0
2021-11-04,Plumas,63,2.0,0.0,0.0,0.0,0.0
2021-11-04,Riverside,65,270.0,18.0,61.0,2.0,110.0
2021-11-04,Sacramento,67,171.0,20.0,46.0,3.0,74.0
2021-11-04,San Benito,69,3.0,0.0,1.0,0.0,1.0
2021-11-04,San Bernardino,71,296.0,27.0,79.0,6.0,157.0
2021-11-04,San Diego,73,289.0,17.0,81.0,3.0,173.0
2021-11-04,San Francisco,75,36.0,8.0,13.0,2.0,80.0
2021-11-04,San Joaquin,77,107.0,10.0,25.0,0.0,15.0
2021-11-04,San Luis Obispo,79,18.0,2.0,3.0,0.0,16.0
2021-11-04,San Mateo,81,27.0,16.0,4.0,2.0,12.0
2021-11-04,Santa Barbara,83,40.0,0.0,10.0,0.0,15.0
2021-11-04,Santa Clara,85,108.0,13.0,31.0,4.0,51.0
2021-11-04,Santa Cruz,87,4.0,1.0,0.0,0.0,3.0
2021-11-04,Shasta,89,61.0,0.0,12.0,0.0,6.0
2021-11-04,Siskiyou,93,3.0,0.0,3.0,0.0,2.0
2021-11-04,Solano,95,43.0,7.0,11.0,0.0,15.0
2021-11-04,Sonoma,97,24.0,0.0,6.0,0.0,19.0
2021-11-04,Stanislaus,99,180.0,10.0,34.0,2.0,20.0
2021-11-04,Sutter,101,0.0,0.0,0.0,0.0,0.0
2021-11-04,Tehama,103,14.0,0.0,3.0,0.0,2.0
2021-11-04,Trinity,105,0.0,0.0,0.0,0.0,0.0
2021-11-04,Tulare,107,159.0,6.0,34.0,0.0,8.0
2021-11-04,Tuolumne,109,16.0,0.0,0.0,0.0,4.0
2021-11-04,Ventura,111,44.0,5.0,6.0,0.0,32.0
2021-11-04,Yolo,113,7.0,0.0,3.0,0.0,3.0
2021-11-04,Yuba,115,25.0,0.0,9.0,0.0,5.0
2021-11-03,Alameda,1,70.0,38.0,24.0,3.0,100.0
2021-11-03,Amador,5,9.0,1.0,2.0,1.0,0.0
2021-11-03,Butte,7,63.0,0.0,12.0,0.0,8.0
2021-11-03,Calaveras,9,2.0,0.0,0.0,0.0,3.0
2021-11-03,Colusa,11,3.0,0.0,0.0,0.0,0.0
2021-11-03,Contra Costa,13,39.0,15.0,16.0,2.0,32.0
2021-11-03,Del Norte,15,1.0,0.0,0.0,0.0,0.0
2021-11-03,El Dorado,17,10.0,0.0,3.0,0.0,1.0
2021-11-03,Fresno,19,327.0,12.0,63.0,1.0,16.0
2021-11-03,Glenn,21,0.0,0.0,0.0,0.0,0.0
2021-11-03,Humboldt,23,12.0,1.0,4.0,0.0,5.0
2021-11-03,Imperial,25,34.0,0.0,9.0,0.0,7.0
2021-11-03,Inyo,27,3.0,0.0,0.0,0.0,2.0
2021-11-03,Kern,29,234.0,1.0,65.0,0.0,22.0
2021-11-03,Kings,31,43.0,0.0,6.0,0.0,5.0
2021-11-03,Lake,33,5.0,0.0,2.0,0.0,1.0
2021-11-03,Lassen,35,4.0,0.0,0.0,0.0,0.0
2021-11-03,Los Angeles,37,650.0,83.0,155.0,14.0,568.0
2021-11-03,Madera,39,22.0,7.0,7.0,1.0,4.0
2021-11-03,Marin,41,2.0,2.0,0.0,1.0,16.0
2021-11-03,Mariposa,43,0.0,0.0,0.0,0.0,0.0
2021-11-03,Mendocino,45,10.0,0.0,4.0,0.0,0.0
2021-11-03,Merced,47,40.0,0.0,15.0,0.0,5.0
2021-11-03,Modoc,49,2.0,0.0,0.0,0.0,0.0
2021-11-03,Mono,51,0.0,0.0,0.0,0.0,2.0
2021-11-03,Monterey,53,8.0,1.0,1.0,0.0,12.0
2021-11-03,Napa,55,7.0,0.0,4.0,0.0,7.0
2021-11-03,Nevada,57,12.0,0.0,2.0,0.0,0.0
2021-11-03,Orange,59,215.0,9.0,51.0,2.0,136.0
2021-11-03,Placer,61,115.0,11.0,28.0,0.0,23.0
2021-11-03,Plumas,63,5.0,0.0,0.0,0.0,0.0
2021-11-03,Riverside,65,267.0,33.0,59.0,2.0,103.0
2021-11-03,Sacramento,67,183.0,24.0,50.0,2.0,72.0
2021-11-03,San Benito,69,3.0,0.0,1.0,0.0,1.0
2021-11-03,San Bernardino,71,289.0,20.0,76.0,6.0,164.0
2021-11-03,San Diego,73,290.0,15.0,82.0,4.0,191.0
2021-11-03,San Francisco,75,39.0,5.0,15.0,1.0,88.0
2021-11-03,San Joaquin,77,104.0,7.0,29.0,0.0,12.0
2021-11-03,San Luis Obispo,79,17.0,2.0,3.0,0.0,15.0
2021-11-03,San Mateo,81,26.0,11.0,3.0,1.0,19.0
2021-11-03,Santa Barbara,83,43.0,0.0,11.0,0.0,17.0
2021-11-03,Santa Clara,85,118.0,17.0,35.0,3.0,64.0
2021-11-03,Santa Cruz,87,4.0,1.0,0.0,0.0,3.0
2021-11-03,Shasta,89,68.0,1.0,14.0,0.0,5.0
2021-11-03,Siskiyou,93,3.0,0.0,2.0,0.0,3.0
2021-11-03,Solano,95,37.0,11.0,8.0,1.0,9.0
2021-11-03,Sonoma,97,23.0,0.0,6.0,0.0,20.0
2021-11-03,Stanislaus,99,183.0,9.0,34.0,1.0,25.0
2021-11-03,Sutter,101,0.0,0.0,0.0,0.0,0.0
2021-11-03,Tehama,103,17.0,0.0,5.0,0.0,0.0
2021-11-03,Trinity,105,0.0,0.0,0.0,0.0,0.0
2021-11-03,Tulare,107,154.0,3.0,36.0,1.0,8.0
2021-11-03,Tuolumne,109,18.0,0.0,1.0,0.0,4.0
2021-11-03,Ventura,111,47.0,3.0,6.0,0.0,38.0
2021-11-03,Yolo,113,10.0,0.0,3.0,0.0,0.0
2021-11-03,Yuba,115,24.0,0.0,10.0,0.0,5.0
2021-11-02,Alameda,1,70.0,34.0,22.0,5.0,99.0
2021-11-02,Amador,5,5.0,1.0,2.0,1.0,0.0
2021-11-02,Butte,7,57.0,0.0,12.0,0.0,8.0
2021-11-02,Calaveras,9,3.0,0.0,0.0,0.0,3.0
2021-11-02,Colusa,11,1.0,0.0,0.0,0.0,0.0
2021-11-02,Contra Costa,13,41.0,13.0,17.0,3.0,40.0
2021-11-02,Del Norte,15,1.0,0.0,0.0,0.0,0.0
2021-11-02,El Dorado,17,8.0,0.0,2.0,0.0,2.0
2021-11-02,Fresno,19,314.0,13.0,56.0,2.0,12.0
2021-11-02,Glenn,21,0.0,0.0,0.0,0.0,0.0
2021-11-02,Humboldt,23,11.0,0.0,4.0,0.0,6.0
2021-11-02,Imperial,25,36.0,0.0,9.0,0.0,3.0
2021-11-02,Inyo,27,3.0,0.0,0.0,0.0,2.0
2021-11-02,Kern,29,242.0,1.0,63.0,0.0,21.0
2021-11-02,Kings,31,43.0,0.0,5.0,0.0,8.0
2021-11-02,Lake,33,4.0,0.0,2.0,0.0,0.0
2021-11-02,Lassen,35,4.0,0.0,0.0,0.0,0.0
2021-11-02,Los Angeles,37,662.0,93.0,152.0,14.0,601.0
2021-11-02,Madera,39,21.0,4.0,6.0,0.0,6.0
2021-11-02,Marin,41,0.0,5.0,0.0,1.0,14.0
2021-11-02,Mariposa,43,0.0,0.0,0.0,0.0,0.0
2021-11-02,Mendocino,45,9.0,2.0,4.0,1.0,2.0
2021-11-02,Merced,47,43.0,0.0,13.0,0.0,2.0
2021-11-02,Modoc,49,2.0,0.0,0.0,0.0,0.0
2021-11-02,Mono,51,0.0,0.0,0.0,0.0,2.0
2021-11-02,Monterey,53,12.0,1.0,1.0,0.0,17.0
2021-11-02,Napa,55,7.0,0.0,4.0,0.0,52.0
2021-11-02,Nevada,57,10.0,0.0,3.0,0.0,1.0
2021-11-02,Orange,59,198.0,8.0,46.0,1.0,158.0
2021-11-02,Placer,61,111.0,12.0,27.0,0.0,19.0
2021-11-02,Plumas,63,3.0,0.0,0.0,0.0,0.0
2021-11-02,Riverside,65,266.0,26.0,62.0,1.0,92.0
2021-11-02,Sacramento,67,180.0,16.0,47.0,2.0,80.0
2021-11-02,San Benito,69,3.0,0.0,1.0,0.0,1.0
2021-11-02,San Bernardino,71,284.0,20.0,70.0,8.0,156.0
2021-11-02,San Diego,73,292.0,22.0,86.0,1.0,204.0
2021-11-02,San Francisco,75,39.0,8.0,13.0,3.0,78.0
2021-11-02,San Joaquin,77,98.0,11.0,25.0,0.0,11.0
2021-11-02,San Luis Obispo,79,19.0,1.0,4.0,0.0,16.0
2021-11-02,San Mateo,81,18.0,15.0,5.0,1.0,20.0
2021-11-02,Santa Barbara,83,42.0,0.0,11.0,0.0,25.0
2021-11-02,Santa Clara,85,121.0,18.0,34.0,4.0,63.0
2021-11-02,Santa Cruz,87,5.0,1.0,0.0,0.0,3.0
2021-11-02,Shasta,89,78.0,7.0,20.0,0.0,8.0
2021-11-02,Siskiyou,93,2.0,0.0,1.0,0.0,3.0
2021-11-02,Solano,95,40.0,16.0,8.0,3.0,7.0
2021-11-02,Sonoma,97,23.0,3.0,6.0,0.0,15.0
2021-11-02,Stanislaus,99,180.0,14.0,35.0,1.0,33.0
2021-11-02,Sutter,101,0.0,0.0,0.0,0.0,0.0
2021-11-02,Tehama,103,23.0,0.0,5.0,0.0,1.0
2021-11-02,Trinity,105,0.0,0.0,0.0,0.0,0.0
2021-11-02,Tulare,107,154.0,9.0,34.0,0.0,7.0
2021-11-02,Tuolumne,109,17.0,0.0,2.0,0.0,3.0
2021-11-02,Ventura,111,45.0,5.0,7.0,0.0,39.0
2021-11-02,Yolo,113,11.0,0.0,3.0,0.0,1.0
2021-11-02,Yuba,115,28.0,0.0,8.0,0.0,6.0
2021-11-01,Alameda,1,73.0,37.0,23.0,4.0,109.0
2021-11-01,Amador,5,7.0,0.0,4.0,0.0,0.0
2021-11-01,Butte,7,54.0,0.0,12.0,0.0,11.0
2021-11-01,Calaveras,9,3.0,0.0,0.0,0.0,4.0
2021-11-01,Colusa,11,2.0,0.0,0.0,0.0,0.0
2021-11-01,Contra Costa,13,48.0,14.0,17.0,2.0,51.0
2021-11-01,Del Norte,15,2.0,0.0,0.0,0.0,1.0
2021-11-01,El Dorado,17,12.0,0.0,6.0,0.0,3.0
2021-11-01,Fresno,19,300.0,14.0,62.0,1.0,18.0
